email,domain,country,fit_score,vertical_match,has_flipbook_competitor,final_url
info@momentumtyres.com,momentumtyres.com,AE,4,property,0,https://momentumtyres.com
contacto@geodataandina.cl,geodataandina.cl,CL,4,property,0,https://geodataandina.cl
zakaz@klimekmsk.ru,klimekmsk.ru,RU,4,property,0,https://klimekmsk.ru
contact@praxia.co.in,praxia.co.in,IN,4,property,0,https://praxia.co.in
meditacsalud@gmail.com,meditacsalud.com,CO,4,property,0,https://meditacsalud.com
vendas@pancrom.com.br,pancrom.com.br,BR,7,gallery,0,https://pancrom.com.br
ventas@kcsa.com.pa,kcsa.com.pa,PA,7,property,0,https://kcsa.com.pa
info@mlrregistrations.in,mlrregistrations.in,IN,4,gallery,0,https://mlrregistrations.in
support@netfree.id,netfree.id,ID,4,property,0,https://netfree.id
info@inda.vn,inda.vn,VN,4,property,0,https://inda.vn
ahmad@muscatmed.om,muscatmed.om,OM,4,property,0,https://muscatmed.om
office@globalappeal.co,nelsonbalaban.com,BR,4,property,0,https://nelsonbalaban.com
contato@recoveryhdd.com.br,recoveryhdd.com.br,BR,4,property,0,https://recoveryhdd.com.br
cksh@newdays.vn,newdays.vn,VN,4,gallery,0,https://newdays.vn
cskh@newdays.vn,newdays.vn,VN,4,gallery,0,https://newdays.vn
minhhue@gmail.com,phuoctien.com.vn,VN,4,property,0,https://phuoctien.com.vn
qcphuoctien@gmail.com,phuoctien.com.vn,VN,4,property,0,https://phuoctien.com.vn
ptsuksesmitraindo01@gmail.com,melamintoptree.com,ID,4,property,0,https://melamintoptree.com
info@prime-rigs.com,prime-rigs.com,ZA,4,property,0,https://prime-rigs.com
info@payavto.ru,payavto.ru,RU,4,property,0,https://payavto.ru
office@payavto.ru,payavto.ru,RU,4,property,0,https://payavto.ru
barch@hindusthan.net,hsoa.ac.in,IN,7,gallery,0,https://hsoa.ac.in
publimarcas443@gmail.com,publimarcas.co,CO,4,property,0,https://publimarcas.co
revista.flsr@gmail.com,revistaforoliterario.com,BR,4,property,0,https://revistaforoliterario.com
office@meital-cpa.co.il,meital-cpa.co.il,IL,4,property,0,https://meital-cpa.co.il
synex.contact@gmail.com,synex.vn,VN,4,property,0,https://synex.vn
synex.social@gmail.com,synex.vn,VN,4,property,0,https://synex.vn
kigodental@gmail.com,kigodental.com,IN,4,property,0,https://kigodental.com
praiadofelix@gmail.com,flatsdofelix.com.br,BR,2,,0,https://flatsdofelix.com.br
support@nikeshpaudel.com.np,nikeshpaudel.com.np,NP,4,property,0,https://nikeshpaudel.com.np
info@obraseca.com.ar,obraseca.com.ar,AR,4,property,0,https://obraseca.com.ar
comercial@mallorcaboathire.com,mallorcaboathire.eu,EU,4,property,0,https://mallorcaboathire.eu
comercial@mallorcaboathire.comfb,mallorcaboathire.eu,EU,4,property,0,https://mallorcaboathire.eu
collegeptnicec@ptnicec.ac.th,ptnicec.ac.th,TH,4,property,0,https://ptnicec.ac.th/webnew67/
info@regrands.ru,regrands.ru,RU,4,gallery,0,https://regrands.ru
accounts@nammabci.in,nammabci.in,IN,4,property,0,https://nammabci.in
office@nammabci.in,nammabci.in,IN,4,property,0,https://nammabci.in
raritymobile@yandex.ru,raritymobile.ru,RU,4,gallery,0,https://raritymobile.ru
ducnt162@fpt.com,lapfpt.com,VN,4,property,0,https://lapfpt.com
lapfpt@gmail.com,lapfpt.com,VN,4,property,0,https://lapfpt.com
noticiaslafuente2017@gmail.com,noticiaslafuente.com.mx,MX,2,property,0,https://noticiaslafuente.com.mx
careers@thelegalswan.com,respekt.in,IN,4,property,0,https://respekt.in
crm@thelegalswan.com,respekt.in,IN,4,property,0,https://respekt.in
support@thelegalswan.com,respekt.in,IN,4,property,0,https://respekt.in
info@newcare.vn,newcare.vn,VN,4,property,0,https://newcare.vn
hola@pigmalion.co,pigmalion.co,CO,4,property,0,https://pigmalion.co
redacao@noticiaboabahia.com.br,noticiaboabahia.com.br,BR,4,property,0,https://noticiaboabahia.com.br
redacao@giroba.com.br,noticiaboabahia.com.br,BR,4,property,0,https://noticiaboabahia.com.br
redacao@notabahia.com.br,noticiaboabahia.com.br,BR,4,property,0,https://noticiaboabahia.com.br
info@wcb.com.ph,plastmann.com.ph,PH,4,property,0,https://plastmann.com.ph
pmann@wcb.com.ph,plastmann.com.ph,PH,4,property,0,https://plastmann.com.ph
k.manojnews@gmail.com,samagam.co.in,IN,8,magazine,1,https://samagam.co.in
lokprakashan2025@gmail.com,samagam.co.in,IN,8,magazine,1,https://samagam.co.in
info@ocalta.com,ocalta.com,MX,4,property,0,https://ocalta.com
vendas@protectroof.com.br,protectroof.com.br,BR,4,property,0,https://protectroof.com.br
info@russianspamahipalpuraerocity.in,russianspamahipalpuraerocity.in,IN,4,property,0,https://russianspamahipalpuraerocity.in
mail@reitzel.in,reitzel.in,IN,7,gallery,0,https://reitzel.in
contato@rocharocha.adv.br,rocharocha.adv.br,BR,2,hotel,0,https://rocharocha.adv.br
info@priority.co.il,priority.co.il,IL,4,property,0,https://priority.co.il
contato@oiaeu.org.br,oiaeu.org.br,BR,4,gallery,0,https://oiaeu.org.br
contato@pousadadossinos.com.br,pousadadossinos.com.br,BR,4,property,0,https://pousadadossinos.com.br
sales@solaranook.com,solaranook.com,CN,4,property,0,https://solaranook.com
ventas@proinsac.com.pe,proinsac.com.pe,PE,4,property,0,https://proinsac.com.pe
contact@remorqueglobal.com,remorqueglobal.eu,EU,4,gallery,0,https://remorqueglobal.eu
assessoria.imprensa@rgfassociados.com,rgfassociados.com,BR,4,property,0,https://rgfassociados.com
contato@rgfassociados.com,rgfassociados.com,BR,4,property,0,https://rgfassociados.com
contact@puppyluxmobile.com,puppyluxmobile.com,BR,4,property,0,https://puppyluxmobile.com
info@ohi-egy.edu.eg,ohi-egy.edu.eg,EG,4,property,0,https://ohi-egy.edu.eg
lnailoveme1988@gmail.com,quangninhtop.com,VN,4,property,0,https://quangninhtop.com
contact@scanbook.co.il,scanbook.co.il,IL,4,property,0,https://scanbook.co.il
info@astratek.co,openplanpictures.co.za,ZA,7,property,0,https://openplanpictures.co.za
apel.zvika@gmail.com,s-nechasim.co.il,IL,4,property,0,https://s-nechasim.co.il
contato@spbox.com.br,spbox.com.br,BR,4,property,0,https://spbox.com.br
vendas.spbox@gmail.com,spbox.com.br,BR,4,property,0,https://spbox.com.br
ventas@tec-renovables.pe,tec-renovables.pe,PE,4,property,0,https://tec-renovables.pe
contacto@tec-innova.mx,tec-innova.mx,MX,4,property,0,https://tec-innova.mx
enqiries@jips.ac.ke,jips.ac.ke,KE,4,property,0,https://jips.ac.ke
thiendipiano@gmail.com,thiendipiano.vn,VN,4,property,0,https://thiendipiano.vn
info@ots.kz,ots.kz,KZ,4,property,0,https://ots.kz/
office@ots.kz,ots.kz,KZ,4,property,0,https://ots.kz/
mail@spb-kbt-online.ru,spb-kbt-online.ru,RU,4,property,0,https://spb-kbt-online.ru
comercial@rf.eng.br,rf-engenharia.com,BR,4,property,0,https://rf-engenharia.com
kenhuaoplatgachhd@gmail.com,tongkhodungcuoplat.com,VN,4,property,0,https://tongkhodungcuoplat.com
info@lavastone.mu,lavastone.mu,MU,7,gallery,0,https://lavastone.mu
atendimento1@prontoatendimentoprovale.com.br,prontoatendimentoprovale.com.br,BR,4,gallery,0,https://prontoatendimentoprovale.com.br
atendimento2@prontoatendimentoprovale.com.br,prontoatendimentoprovale.com.br,BR,4,gallery,0,https://prontoatendimentoprovale.com.br
atendimento@prontoatendimentoprovale.com.br,prontoatendimentoprovale.com.br,BR,4,gallery,0,https://prontoatendimentoprovale.com.br
finance@pls.international,pls.international,RU,7,property,0,https://pls.international
reception@pls.international,pls.international,RU,7,property,0,https://pls.international
info@tias.co.za,tias.co.za,ZA,4,gallery,0,https://tias.co.za
info@tayarisecurity.ug,tayarisecurity.ug,UG,4,property,0,https://tayarisecurity.ug
comercial@montri.com.br,montri.com.br,BR,4,property,0,https://montri.com.br
info@pearlriverahanoi.vn,pearlriverahanoi.vn,VN,4,property,0,https://pearlriverahanoi.vn
info@aeroweather.co.za,sapfa.co.za,ZA,4,gallery,0,https://sapfa.co.za
sapowerflying@gmail.co.za,sapfa.co.za,ZA,4,gallery,0,https://sapfa.co.za
info@niteshkuro.com,niteshkuro.com,IN,4,property,0,http://niteshkuro.com
info@jvtimmigration.com,niteshkuro.com,IN,4,property,0,http://niteshkuro.com
info.provenpathaways@gmail.com,provenpathways.in,IN,4,gallery,0,https://provenpathways.in
kontakt@szumi-las.eu,szumi-las.eu,EU,4,property,0,https://szumi-las.eu
admin@smpkstagnes.sch.id,smpkstagnes.sch.id,ID,4,property,0,https://smpkstagnes.sch.id/mading/
adm@silvascontabilidade.com.br,silvascontabilidade.com.br,BR,4,property,0,https://silvascontabilidade.com.br
info@wedigitalcreatives.com,wedigitalcreatives.com,IN,4,property,0,https://wedigitalcreatives.com
contato@tcrexecutivo.com.br,tcrexecutivo.com.br,BR,4,hotel,0,https://tcrexecutivo.com.br
daniloluizari@outlook.com.br,tcrexecutivo.com.br,BR,4,hotel,0,https://tcrexecutivo.com.br
gerenciacomercial@tlmandina.com.co,tlmandina.com.co,CO,4,gallery,0,https://tlmandina.com.co
ingenieria@tlmandina.com.co,tlmandina.com.co,CO,4,gallery,0,https://tlmandina.com.co
admin@sidiroom.com,sidiroom.com,ID,4,property,0,https://sidiroom.com
nguyenthequyen5586@gmail.com,hoanganviet.com.vn,VN,4,property,0,https://hoanganviet.com.vn
jennybao@sddingyuan.cn,shandingmachinery.com,CN,4,property,0,https://shandingmachinery.com
ventas@maquinasdegimnasio.com.pe,maquinasdegimnasio.com.pe,PE,4,property,0,https://maquinasdegimnasio.com.pe
vendas@startintas.com.br,startintas.com.br,BR,4,gallery,0,https://startintas.com.br
sadecedefter@gmail.com,sadecedefter.com,TR,4,property,0,https://sadecedefter.com/
thammynhuhoa24@gmail.com,thammynhuhoa.vn,VN,4,property,0,https://thammynhuhoa.vn
contato@santacasapaulista.com.br,santacasapaulista.com.br,BR,2,,0,https://santacasapaulista.com.br
contacto@nutricion360.cl,nutricion360.cl,CL,4,property,0,https://nutricion360.cl
correocontacto@nutricion360.cl,nutricion360.cl,CL,4,property,0,https://nutricion360.cl
simplon.benin@simplon.co,simplon.bj,BJ,7,property,0,https://simplon.bj
administracion@panapack.com.ar,panapack.com.ar,AR,4,gallery,0,https://panapack.com.ar
contacto@panapack.com.ar,panapack.com.ar,AR,4,gallery,0,https://panapack.com.ar
logistica@panapack.com.ar,panapack.com.ar,AR,4,gallery,0,https://panapack.com.ar
pagos@panapack.com.ar,panapack.com.ar,AR,4,gallery,0,https://panapack.com.ar
ventas@panapack.com.ar,panapack.com.ar,AR,4,gallery,0,https://panapack.com.ar
enquiry@textroelectronics.com,textroelectronics.in,IN,4,property,0,https://textroelectronics.in
im.srihari.k@gmail.com,textroelectronics.in,IN,4,property,0,https://textroelectronics.in
info@spsrealtors.com,spsinvestment.ae,AE,4,real estate,0,https://spsinvestment.ae
info@neurokzn.ru,neurokzn.ru,RU,4,property,0,https://neurokzn.ru
info@veranda.top,veranda.top,RU,4,property,0,https://veranda.top
secretary@sun.re,sun.re,RE,2,,0,https://sun.re
silacorp.thailand@gmail.com,silacorp.co.th,TH,4,property,0,https://silacorp.co.th
somos@servasdemaria.com.br,servasdemaria.com.br,BR,4,property,0,https://servasdemaria.com.br
info@repairtech.co.ke,repairtech.co.ke,KE,4,property,0,https://repairtech.co.ke
estudiovitalmartinez@gmail.com,vitalyasociados.com.ar,AR,4,property,0,https://vitalyasociados.com.ar
tourism.danang.vn@gmail.com,tourism.danang.vn,VN,4,property,0,https://tourism.danang.vn
no-responder@veterinariaotero.com.ar,veterinariaotero.com.ar,AR,7,gallery,0,https://veterinariaotero.com.ar
info@pacificrealestate.mx,pacificrealestate.mx,MX,4,real estate,0,https://pacificrealestate.mx
info@remotixkenya.com,remotix.co.ke,KE,4,property,0,https://remotix.co.ke
james@mail.com,remotix.co.ke,KE,4,property,0,https://remotix.co.ke
